r	 fullpivoting	 partialpivoting	 mimicrypivoting
40.0	7.032359473721447e-6	1.4507022985767691e-5	4.701800159657838e-6
41.0	4.134002736649047e-6	8.069973038697552e-6	4.642449852468851e-6
42.0	2.792004743942809e-6	7.883399027643486e-6	4.29723837458126e-6
43.0	2.609412754782419e-6	6.904139459596965e-6	4.2267739516550326e-6
44.0	1.871777103902297e-6	4.671596504833309e-6	4.2261779044103025e-6
45.0	1.548336177972487e-6	4.648333479264129e-6	3.086784790340913e-6
46.0	1.3337495294228833e-6	3.3892267396806407e-6	2.8873669342127825e-6
47.0	1.284761792741624e-6	1.5790486215231442e-6	2.2625651232140016e-6
48.0	1.2402961647861322e-6	1.4365860603970138e-6	2.089253901044187e-6
49.0	1.0978554415830235e-6	1.4957544932191468e-6	1.8983726762004939e-6
50.0	6.788605631826397e-7	1.2306782512039466e-6	1.1826984325914913e-6
51.0	5.99909115391874e-7	1.1284707791423279e-6	1.108808160339563e-6
52.0	4.929355153336947e-7	1.1349664569087332e-6	8.382887206891508e-7
53.0	4.855563162195136e-7	1.2249380291061736e-6	7.326803292468672e-7
54.0	3.6533691314297137e-7	8.198998232804735e-7	6.350510966957553e-7
55.0	3.6355028478956506e-7	6.7538947612988e-7	6.529137540808751e-7
56.0	3.1030834231051465e-7	5.128869324025925e-7	5.602035154620909e-7
57.0	2.775903695072612e-7	3.7459243156378666e-7	5.505793774714907e-7
58.0	2.12518812629718e-7	2.908166050026612e-7	6.708595862533995e-7
59.0	1.726340146363768e-7	2.9667683837680965e-7	5.576802248686931e-7
60.0	1.3314734483041008e-7	3.5529908240035173e-7	4.917870559142249e-7
61.0	1.350776014724482e-7	1.5575670969422838e-7	2.0373202164410546e-7
62.0	1.0716971416698281e-7	1.3406712050070623e-7	1.704004757583656e-7
63.0	1.0095726745088354e-7	1.362979393093839e-7	1.5051439604242007e-7
64.0	8.854022393033391e-8	1.350154970821139e-7	1.5598797762653982e-7
65.0	6.732651420598469e-8	1.0873542814419949e-7	1.4861521526578152e-7
66.0	6.276345618136028e-8	9.019718479423052e-8	1.1565802029604375e-7
67.0	4.2991710576120814e-8	8.188329998106643e-8	7.935990708033321e-8
68.0	3.476874955039547e-8	4.320545552194148e-8	7.771460712845234e-8
69.0	3.001342974550623e-8	3.585522766384027e-8	8.59097264669412e-8
70.0	2.8109260406190604e-8	3.450145198926392e-8	5.357044588870802e-8
